plot_id;species;id;plot_size;plot_size_m2;harvested;harvestes (g/m2);blank value;agb_g_m2;site;E_mean;E_median;E_stdev
P01;Bryophyte;s1_p01;0,5;0,25;33,8;135,2;0;135,2;1;189,55;189,66;1,75
P02;Bryophyte;s1_p02;0,5;0,25;48;192;0;192;1;129,20;127,31;5,64
P03;Bryophyte;s1_p03;0,5;0,25;39,2;156,8;0;156,8;1;85,72;85,95;0,34
P04;Bryophyte;s1_p04;0,5;0,25;6,1;24,4;0;24,4;1;94,75;96,26;2,67
P05;Bryophyte;s1_p05;0,5;0,25;43,3;173,2;0;173,2;1;190,03;190,03;0,00
P06;Bryophyte;s1_p06;0,5;0,25;47,6;190,4;0;190,4;1;469,52;471,75;3,44
P07;Bryophyte;s1_p07;0,5;0,25;32,8;131,2;0;131,2;1;307,55;307,55;0,00
P08;Bryophyte;s1_p08;0,5;0,25;4,9;19,6;0;19,6;1;257,13;260,46;12,39
P09;Bryophyte;s1_p09;0,5;0,25;60,5;242;0;242;1;337,71;333,95;5,82
P10;Bryophyte;s1_p10;0,5;0,25;5,2;20,8;0;20,8;1;233,86;234,13;0,60
P11;Bryophyte;s1_p11;0,5;0,25;23,9;95,6;0;95,6;1;54,95;54,49;1,17
P12;Bryophyte;s1_p12;0,5;0,25;12,9;51,6;0;51,6;1;203,46;209,24;11,05
P01;Cirsium spinosiss.;s2_p01;0,6;0,36;38;105,56;133,2;238,76;2;509,70;493,10;20,33
P02;Cirsium spinosiss.;s2_p02;0,5;0,25;42,6;170,4;133,2;303,6;2;125,01;125,01;0,00
P03;Forbs, Bryophyte;s2_p03;0,5;0,25;3,6;14,4;133,2;147,6;2;91,12;91,12;0,00
P04;Cirsium spinosiss.;s2_p04;0,5;0,25;34;136;133,2;269,2;2;120,47;96,44;24,29
P05;Forbs, Bryophyte;s2_p05;0,5;0,25;2,4;9,6;133,2;142,8;2;87,37;92,43;9,91
P06;Forbs, Bryophyte;s2_p06;0,5;0,25;7,4;29,6;133,2;162,8;2;249,99;226,27;34,24
P07;Cirsium spinosiss.;s2_p07;0,7;0,49;100;204,08;133,2;337,28;2;300,03;298,88;6,36
P08;Forbs, Bryophyte;s2_p08;0,5;0,25;4,6;18,4;133,2;151,6;2;270,91;266,54;13,54
P09;Cirsium spinosiss.;s2_p09;0,6;0,36;58;161,11;133,2;294,31;2;175,30;175,39;3,27
P10;Cirsium spinosiss.;s2_p10;0,7;0,49;62,7;127,96;133,2;261,16;2;251,84;256,71;16,48
P11;Cirsium spinosiss.;s2_p11;0,5;0,25;3,6;14,4;133,2;147,6;2;135,70;135,70;0,00
P12;Forbs;s2_p12;0,5;0,25;25,2;100,8;133,2;234;2;148,93;146,02;4,94
P01;Gramminoid;s3_p01;0,5;0,25;25;100;133,2;233,2;3;48,43;49,16;1,63
P02;Gramminoid;s3_p02;0,5;0,25;46;184;133,2;317,2;3;158,53;158,53;0,00
P03;Gramminoid;s3_p03;0,5;0,25;54,3;217,2;133,2;350,4;3;316,35;312,90;5,37
P04;Gramminoid;s3_p04;0,5;0,25;37,8;151,2;133,2;284,4;3;108,16;90,85;16,39
P05;Gramminoid;s3_p05;0,5;0,25;40,4;161,6;133,2;294,8;3;78,50;78,27;0,38
P06;Cirsium spinosiss.;s3_p06;0,7;0,49;77,2;157,55;133,2;290,75;3;58,48;56,70;2,61
P07;Cirsium spinosiss.;s3_p07;0,5;0,25;21,4;85,6;133,2;218,8;3;194,82;193,87;3,69
P08;Cirsium spinosiss.;s3_p08;0,5;0,25;46,6;186,4;133,2;319,6;3;37,91;36,20;5,31
P09;Gramminoid;s3_p09;0,5;0,25;31,1;124,4;133,2;257,6;3;101,15;104,11;9,32
P10;Cirsium spinosiss.;s3_p10;1;1;108,2;108,2;133,2;241,4;3;494,27;500,18;8,69
P11;Forbs;s3_p11;0,5;0,25;62,6;250,4;133,2;383,6;3;57,48;50,34;7,63
P12;Forbs, Gramminoid;s3_p12;0,5;0,25;28,4;113,6;133,2;246,8;3;85,57;85,57;0,00
P01;Gramminoid;s4_p01;0,5;0,25;31,6;126,4;133,2;259,6;4;762,63;759,53;27,37
P02;Gramminoid;s4_p02;0,5;0,25;69,6;278,4;133,2;411,6;4;305,72;305,06;2,59
P03;Gramminoid;s4_p03;0,5;0,25;65;260;133,2;393,2;4;172,94;174,06;1,89
P04;Juniperus communis subsp. alpina;s4_p04;0,5;0,25;347,6;1390,4;133,2;1523,6;4;148,14;148,54;13,93
P05;Gramminoid;s4_p05;0,5;0,25;121,3;485,2;133,2;618,4;4;422,46;410,78;20,63
P06;Gramminoid;s4_p06;0,5;0,25;124,5;498;133,2;631,2;4;418,81;440,78;32,13
P07;Juniperus communis subsp. alpina;s4_p07;0,5;0,25;547,3;2189,2;133,2;2322,4;4;407,91;401,14;9,93
P08;Gramminoid;s4_p08;0,5;0,25;50,6;202,4;133,2;335,6;4;941,99;941,81;0,40
P09;Forbs, Gramminoid;s4_p09;0,5;0,25;53,6;214,4;133,2;347,6;4;333,84;334,42;1,80
P10;Juniperus communis subsp. alpina;s4_p10;0,5;0,25;222,4;889,6;133,2;1022,8;4;730,92;733,51;64,83
P11;Forbs, Gramminoid;s4_p11;0,5;0,25;21,2;84,8;133,2;218;4;265,06;276,63;20,36
P12;Gramminoid;s4_p12;0,5;0,25;38,8;155,2;133,2;288,4;4;606,43;612,54;20,07